Time_M15,Hour,Session,Type,Close_Price,M15_RSI,M15_STOCH_K,M15_STOCH_D,M1_RSI_Min,M1_RSI_Max,M15_ATR,H1_ATR,M15_ATR_High_Volatility,M15_Volume_Spike,Pattern,Divergence,M15_BB_Breakout_%
2026-03-12 12:00:00,12,London Session (08:00-15:00),Đỉnh,5186.99,66.11,79.04,71.57,0.0,19.89,7.74231,20.56222,False,False,Pin Bar,Bearish Divergence,0.0
2026-03-12 22:30:00,22,NY Session (15:00-24:00),Đáy,5072.19,22.16,17.99,17.07,15.67,48.46,12.11063,23.12665,False,False,Pin Bar,Bullish Divergence,0.194
2026-03-13 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,5123.03,61.67,83.94,85.98,53.75,73.41,9.38927,21.34008,False,False,Pin Bar,Bearish Divergence,0.0
2026-03-13 21:45:00,21,NY Session (15:00-24:00),Đáy,5016.21,28.41,9.7,14.3,19.75,49.48,13.41633,25.65879,False,False,None,None,0.193
2026-03-16 01:15:00,1,Asian Session (00:00-08:00),Đáy,4989.35,29.38,51.5,51.6,15.7,38.22,16.78358,27.68527,False,True,None,None,0.529
2026-03-16 16:00:00,16,NY Session (15:00-24:00),Đỉnh,5027.93,60.32,86.46,86.47,45.5,62.9,12.37052,27.70629,False,False,Pin Bar,Bearish Divergence,0.0
2026-03-17 07:15:00,7,Asian Session (00:00-08:00),Đỉnh,5035.12,60.99,77.42,84.53,39.02,69.37,7.99575,21.84444,False,False,Engulfing,Bearish Divergence,0.0
2026-03-17 17:30:00,17,NY Session (15:00-24:00),Đáy,4984.33,33.84,13.55,16.85,23.44,38.57,12.73363,22.31598,False,True,None,Bullish Divergence,0.342
2026-03-18 08:30:00,8,London Session (08:00-15:00),Đỉnh,5011.14,63.59,92.78,90.54,54.36,78.7,7.43051,16.83413,False,False,None,None,0.098
2026-03-18 22:30:00,22,NY Session (15:00-24:00),Đáy,4820.94,27.12,7.75,6.63,22.68,51.44,16.07069,27.84249,False,False,None,Bullish Divergence,0.16
2026-03-19 03:30:00,3,Asian Session (00:00-08:00),Đỉnh,4865.47,61.08,67.94,62.67,55.54,78.2,14.40844,26.89295,False,True,None,None,0.16
2026-03-19 15:00:00,15,NY Session (15:00-24:00),Đáy,4539.35,15.39,15.54,10.36,24.64,49.38,32.47851,47.49164,True,False,None,None,1.182
2026-03-20 05:15:00,5,Asian Session (00:00-08:00),Đỉnh,4733.44,72.95,94.09,87.36,69.36,83.56,20.04736,42.80731,False,False,None,None,0.275
2026-03-20 20:45:00,20,NY Session (15:00-24:00),Đáy,4499.6,23.53,14.43,18.78,14.71,34.32,26.08172,48.99688,False,False,None,None,1.007
2026-03-23 00:15:00,0,Asian Session (00:00-08:00),Đỉnh,4523.51,42.16,70.2,51.51,57.47,67.59,25.65159,48.81764,False,False,None,None,0.0
2026-03-23 09:15:00,9,London Session (08:00-15:00),Đáy,4135.62,21.34,13.74,10.99,27.24,47.55,42.95882,71.02463,False,False,Pin Bar,Bullish Divergence,1.151
2026-03-24 04:00:00,4,Asian Session (00:00-08:00),Đáy,4312.11,35.25,4.86,7.86,34.42,52.1,33.19088,73.89358,False,False,Pin Bar,None,0.0
2026-03-24 22:15:00,22,NY Session (15:00-24:00),Đỉnh,4455.48,66.58,56.19,55.79,49.11,95.23,22.96674,52.79777,False,False,None,None,0.973
2026-03-25 00:30:00,0,Asian Session (00:00-08:00),Đáy,4468.57,65.5,87.23,88.4,29.26,49.02,21.96786,51.1565,False,False,Pin Bar,None,0.0
2026-03-25 04:45:00,4,Asian Session (00:00-08:00),Đỉnh,4583.66,73.5,75.52,78.91,34.27,66.11,19.00372,49.49427,False,False,Engulfing,Bearish Divergence,0.0
2026-03-26 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,4538.18,55.58,88.68,85.28,50.44,68.26,17.02625,36.60233,False,False,Pin Bar,None,0.005
2026-03-26 22:00:00,22,NY Session (15:00-24:00),Đáy,4396.82,47.36,40.22,38.08,24.87,79.41,21.04246,39.92538,False,False,None,Bullish Divergence,0.0
2026-03-27 02:45:00,2,Asian Session (00:00-08:00),Đáy,4378.27,41.04,19.64,39.21,28.85,39.53,18.25217,38.52593,False,False,None,None,0.0
2026-03-27 17:15:00,17,NY Session (15:00-24:00),Đỉnh,4543.33,82.67,93.2,90.59,61.76,76.14,19.85346,35.77912,False,True,None,None,0.75
2026-03-30 03:00:00,3,Asian Session (00:00-08:00),Đáy,4425.86,26.94,7.86,11.57,27.77,38.25,19.73961,37.17775,False,True,None,None,0.481
2026-03-30 14:45:00,14,London Session (08:00-15:00),Đỉnh,4559.4,66.98,80.82,80.52,48.33,82.16,14.05126,32.32421,False,False,Pin Bar,Bearish Divergence,0.523
2026-03-31 03:15:00,3,Asian Session (00:00-08:00),Đáy,4512.18,48.41,66.1,67.16,19.33,57.09,14.95045,32.29206,False,False,Pin Bar,Bullish Divergence,0.298
2026-03-31 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4679.19,72.13,86.71,86.94,39.55,62.63,14.32214,30.62537,False,False,Pin Bar,Bearish Divergence,0.0
2026-04-01 01:45:00,1,Asian Session (00:00-08:00),Đáy,4680.88,67.23,56.0,45.42,34.1,56.27,15.87452,30.91856,False,False,Pin Bar,None,0.0
2026-04-01 20:00:00,20,NY Session (15:00-24:00),Đỉnh,4788.37,67.69,88.85,84.87,52.2,75.58,13.8023,29.08758,False,False,Pin Bar,None,0.0
2026-04-02 02:30:00,2,Asian Session (00:00-08:00),Đỉnh,4789.58,63.51,89.42,88.63,45.08,68.68,12.25503,28.32684,False,False,Engulfing,Bearish Divergence,0.143
2026-04-02 09:00:00,9,London Session (08:00-15:00),Đáy,4580.39,17.45,12.38,20.85,17.65,42.74,23.05974,40.26663,False,False,Pin Bar,None,1.136
2026-04-06 03:15:00,3,Asian Session (00:00-08:00),Đáy,4603.28,36.35,15.51,11.36,29.05,67.45,19.16443,37.5523,False,False,Engulfing,Bullish Divergence,0.0
2026-04-06 12:30:00,12,London Session (08:00-15:00),Đỉnh,4703.19,69.15,96.08,96.05,55.05,65.57,12.09076,32.00063,False,False,Pin Bar,None,0.0
2026-04-07 17:00:00,17,NY Session (15:00-24:00),Đáy,4621.92,36.31,19.63,33.78,18.01,42.63,17.40869,29.18082,False,False,Engulfing,None,0.433
2026-04-07 22:45:00,22,NY Session (15:00-24:00),Đỉnh,4700.59,64.65,68.51,57.75,52.97,77.12,17.1501,30.96578,False,False,None,None,0.432
2026-04-08 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,4834.89,84.7,89.87,90.48,51.39,78.43,23.14532,36.97438,False,False,Pin Bar,None,0.0
2026-04-08 22:00:00,22,NY Session (15:00-24:00),Đáy,4715.38,33.71,9.58,11.03,31.58,62.66,15.32888,32.89907,False,False,Engulfing,Bullish Divergence,0.164
2026-04-09 03:00:00,3,Asian Session (00:00-08:00),Đáy,4702.33,35.48,25.71,24.51,22.52,37.73,12.47647,29.54682,False,False,None,Bullish Divergence,0.042
2026-04-09 20:30:00,20,NY Session (15:00-24:00),Đỉnh,4795.17,67.15,76.08,75.98,41.85,66.77,11.80321,24.40941,False,False,Pin Bar,None,0.0
2026-04-10 11:45:00,11,London Session (08:00-15:00),Đáy,4740.57,35.09,25.45,27.31,18.72,49.91,8.63361,20.21546,False,False,Pin Bar,None,0.171
2026-04-10 17:30:00,17,NY Session (15:00-24:00),Đỉnh,4780.66,61.01,80.13,77.18,31.42,68.33,11.26364,20.14675,False,False,None,Bearish Divergence,0.132
2026-04-13 01:15:00,1,Asian Session (00:00-08:00),Đáy,4646.73,12.39,18.27,23.3,24.05,39.13,17.21539,25.73542,True,False,None,None,0.931
2026-04-13 20:15:00,20,NY Session (15:00-24:00),Đỉnh,4742.99,61.61,74.5,80.1,44.22,71.6,12.84004,22.88581,False,False,None,None,0.099
2026-04-14 01:00:00,1,Asian Session (00:00-08:00),Đáy,4748.28,62.17,63.74,65.35,57.09,80.94,9.18723,20.83057,False,False,None,None,0.0
2026-04-14 22:45:00,22,NY Session (15:00-24:00),Đỉnh,4844.74,72.83,87.49,87.04,49.45,66.56,8.95664,20.07671,False,False,None,None,0.0
2026-04-15 04:15:00,4,Asian Session (00:00-08:00),Đỉnh,4850.64,65.52,64.7,49.32,46.39,85.08,10.33733,19.76177,False,True,Pin Bar,None,0.424
2026-04-15 12:45:00,12,London Session (08:00-15:00),Đáy,4798.05,33.59,22.17,31.63,30.12,55.74,10.12905,19.23625,False,False,Pin Bar,None,0.199
2026-04-16 08:00:00,8,London Session (08:00-15:00),Đỉnh,4834.34,65.04,91.2,91.14,53.62,84.76,6.56347,16.36755,False,False,Pin Bar,Bearish Divergence,0.035
2026-04-16 17:30:00,17,NY Session (15:00-24:00),Đáy,4787.64,29.3,35.61,35.07,24.1,54.47,11.49362,17.53499,True,True,None,None,0.414
2026-04-17 04:30:00,4,Asian Session (00:00-08:00),Đáy,4777.64,39.25,21.05,38.2,32.66,52.33,8.27212,15.8566,False,True,None,Bullish Divergence,0.17
2026-04-17 16:00:00,16,NY Session (15:00-24:00),Đỉnh,4882.99,88.15,95.98,92.86,58.63,85.61,12.76085,20.62235,True,True,None,None,0.794
2026-04-20 02:45:00,2,Asian Session (00:00-08:00),Đáy,4755.05,17.1,12.26,13.05,18.19,50.29,14.14165,24.54336,False,True,Pin Bar,Bullish Divergence,0.013
2026-04-20 17:30:00,17,NY Session (15:00-24:00),Đỉnh,4813.96,56.24,67.61,72.35,34.24,62.28,10.42682,21.73973,False,False,None,Bearish Divergence,0.0
2026-04-21 01:15:00,1,Asian Session (00:00-08:00),Đỉnh,4828.81,66.63,84.77,75.72,50.74,69.23,6.80531,17.59692,False,False,Pin Bar,Bearish Divergence,0.105
2026-04-21 22:30:00,22,NY Session (15:00-24:00),Đáy,4671.46,27.59,42.8,49.2,11.94,60.39,15.43858,24.56898,False,False,Engulfing,None,0.205
2026-04-22 01:45:00,1,Asian Session (00:00-08:00),Đáy,4719.42,50.05,81.89,84.99,40.69,57.49,13.23339,25.58422,False,False,Engulfing,None,0.0
2026-04-22 10:00:00,10,London Session (08:00-15:00),Đỉnh,4765.55,61.09,67.55,66.31,41.08,71.7,7.22009,19.47406,False,False,Pin Bar,Bearish Divergence,0.029
2026-04-23 03:45:00,3,Asian Session (00:00-08:00),Đỉnh,4747.95,57.62,92.22,64.72,51.76,67.16,10.56388,18.90839,False,True,Pin Bar,None,0.0
2026-04-23 13:00:00,13,London Session (08:00-15:00),Đáy,4688.94,33.98,13.29,15.4,19.55,55.74,8.90708,17.85268,False,False,None,None,0.132
